ID,TYPE,APN,Field2,Field3,Field4,ownership type,Field6,Field7,Field8,Field11,Field9,Tran Line no
1325,TRANS EASEMENT,2644004902,0.48,,,F-E,,0,Water and Power Department,,,T/L #15B
1326,TRANS EASEMENT,2644004901,0.413,,,F-E,,0,Water and Power Department,,,T/L #15B
1327,TRANS EASEMENT,2644004900,1.344,,,F-E,,0,Water and Power Department,,,T/L #15B
1328,TRANS EASEMENT,2644002904,0.756,,Parcel 2644-002-903 was split into 2644-002-904 and 2644-002-905,F-E,,0,Water and Power Department,,,T/L #15B
1329,TRANS EASEMENT,2644002900,0.708,,,F-E,,0,Water and Power Department,,,T/L #15B
1330,TRANS EASEMENT,2642022902,0.726,,,F-E,,0,Water and Power Department,,,T/L #15B
1331,TRANS EASEMENT,2642021900,3.414,,,F-E,,0,Water and Power Department,,,T/L #15B
1332,TRANS EASEMENT,2642012900,3.505,,,F-E,,0,Water and Power Department,,,T/L #15B
1333,TRANS EASEMENT,2642001900,0.813,,,F-E,,0,Water and Power Department,,,T/L #15B
1334,TRANS EASEMENT,2633030900,2.16,,,F-E,,0,Water and Power Department,,,T/L #15B
1335,TRANS EASEMENT,2633029900,0.008,,,F-E,,0,Water and Power Department,,,T/L #15B
1336,TRANS EASEMENT,2631028902,0.327,,,F-E,,0,Water and Power Department,,,T/L #15B
1337,TRANS EASEMENT,2631027901,1.3,,,F-E,,0,Water and Power Department,,,T/L #15B
1338,TRANS EASEMENT,2631023903,0.747,,,F-E,,0,Water and Power Department,,,T/L #15B
1339,TRANS EASEMENT,2631013901,0.483,,,F-E,,0,Water and Power Department,,,T/L #15B
1340,TRANS EASEMENT,2631013900,1.137,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #15B
1341,TRANS EASEMENT,2631011903,0.401,,,F-E,,0,Water and Power Department,,,T/L #15B
1342,TRANS EASEMENT,2631011900,1.511,,,F-E,,0,Water and Power Department,,,T/L #15B
1343,TRANS EASEMENT,2629033900,0.072,,,F-E,,0,Water and Power Department,,,T/L #15B
1344,TRANS EASEMENT,2629032901,3.29,,,F-E,,0,Water and Power Department,,,T/L #15B
1345,TRANS EASEMENT,2629020901,2.37,,,F-E,,0,Water and Power Department,,,T/L #15B
1346,TRANS EASEMENT,2629015902,2.33,,,F-E,,0,Water and Power Department,,,T/L #15B
1347,TRANS EASEMENT,2629006900,3.58,,,F-E,,0,Water and Power Department,,,T/L #15B
1348,TRANS EASEMENT,2629005900,3.58,,,F-E,,0,Water and Power Department,,,T/L #15B
1349,TRANS EASEMENT,2627026900,3.89,,,F-E,,0,Water and Power Department,,,T/L #15B
1350,TRANS EASEMENT,2627020900,0.122,,,F-E,,0,Water and Power Department,,,T/L #15B
1351,TRANS EASEMENT,2627008906,0.731,,,F-E,,0,Water and Power Department,,,T/L #15B
1352,TRANS EASEMENT,2627007900,3.46,,,F-E,,0,Water and Power Department,,,T/L #15B
1353,TRANS EASEMENT,2625039902,0.751,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15B
1354,TRANS EASEMENT,2625038900,0.74,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15B
1355,TRANS EASEMENT,2625037902,0.551,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15B
1356,TRANS EASEMENT,2625034900,0.419,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15B
1357,TRANS EASEMENT,2625027900,3.63,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15B
1358,TRANS EASEMENT,2625025900,0.85,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15B
1359,TRANS EASEMENT,2615011903,1.635,,5/12/2010 Old APN 2615-011-902,F-E,,,,,,T/L #15B
1360,TRANS EASEMENT,2615010901,2.46,,,F-E,,,,,,T/L #15B
1361,TRANS EASEMENT,2615004905,0.573,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15B
1362,TRANS EASEMENT,2615004903,0.107,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15B
1363,TRANS EASEMENT,2604041903,2.24,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15B
1364,TRANS EASEMENT,2604036900,1.194,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15B
1365,TRANS EASEMENT,2604007901,0.204,,,F-E,,,,,,T/L #15B
1366,TRANS EASEMENT,2604007900,0.517,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15B
1367,TRANS EASEMENT,2604002903,5.24,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15B
1368,TRANS EASEMENT,2603016900,0.22,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15B
1369,TRANS EASEMENT,2603015905,10.66,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15B
1370,TRANS EASEMENT,2603010907,7.07,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #15B
1371,TRANS EASEMENT,2603009907,0.137,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #15B
1372,TRANS EASEMENT,2603009906,3.94,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #15B
1373,TRANS EASEMENT,2603009900,0.22,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #15B
1374,TRANS EASEMENT,2603006903,4.28,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #15B
1375,TRANS EASEMENT,2603006901,13.84,,,F-E,,0,Water and Power Department,,SOUTH GATE,T/L #15A
1376,TRANS EASEMENT,2603005908,0.93,,5/12/2010 Old APN 2603-005-904,F-E,,,,,,T/L #15A
1377,TRANS EASEMENT,2603005907,7.09,,,F-E,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1378,TRANS EASEMENT,2603005906,8.7,,,F-E,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1379,TRANS EASEMENT,2603005905,1.03,,,F-E,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1380,TRANS EASEMENT,2603005903,11.71,,,F-E,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1381,TRANS EASEMENT,2582030902,3.02,,,F-E,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1382,TRANS EASEMENT,2582001903,11.85,,,F-E,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1383,TRANS EASEMENT,2582001902,4.95,,,F-E,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1384,TRANS EASEMENT,2581001275,8.93,,,F-T,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1385,TRANS EASEMENT,2581001274,9.39,,,F-T,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1386,TRANS EASEMENT,2581001273,22.42,,,F-T,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1387,TRANS EASEMENT,2581001272,20.05,,,F-T,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1388,TRANS EASEMENT,2581001271,18.55,,,F-T,,0,Water and Power Department,,SOUTH GATE,T/L #15A
1389,TRANS EASEMENT,2581001270,38.7,,,F-T,,0,Water and Power Department,,SOUTH GATE,T/L #15A
1390,TRANS EASEMENT,2550023901,0.167,,,F-E,,0,Water and Power Department,,VERNON,T/L #15A
1391,TRANS EASEMENT,2550023900,1.837,,,F-E,,0,Water and Power Department,,VERNON,T/L #15A
1392,TRANS EASEMENT,2550012901,0.151,,,F-E,,0,Water and Power Department,,VERNON,T/L #15A
1393,TRANS EASEMENT,2550012900,2.652,,,F-E,,0,Water and Power Department,,VERNON,T/L #15A
1394,TRANS EASEMENT,2549002901,0.061,,,F-E,,0,Water and Power Department,,VERNON,T/L #15A
1395,TRANS EASEMENT,2542009900,1.35,,,F-E,,0,Water and Power Department,,VERNON,T/L #15A
1396,TRANS EASEMENT,2542008900,3.56,,,F-E,,0,Water and Power Department,,VERNON,T/L #15A
1397,TRANS EASEMENT,2542007901,2.307,,,F-E,,0,Water and Power Department,,VERNON,T/L #15A
1398,TRANS EASEMENT,2542004901,1.625,,,F-E,,0,Water and Power Department,,VERNON,T/L #15A
1399,TRANS EASEMENT,2542004900,0.37,,,F-E,,0,Water and Power Department,,VERNON,T/L #15A
1400,TRANS EASEMENT,2542002900,1.152,,,F-E,,0,Water and Power Department,,VERNON,T/L #15A
1401,TRANS EASEMENT,2538031900,2.343,,,F-E,,0,Water and Power Department,,VERNON,T/L #15A
1402,TRANS EASEMENT,2538030900,0.51,,,F-E,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1403,TRANS EASEMENT,2538028902,0.952,,,F-E,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1404,TRANS EASEMENT,2538027900,2.944,,,F-E,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1405,TRANS EASEMENT,2538023902,2.135,,,F-E,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1406,TRANS EASEMENT,2538022901,3.062,,,F-E,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1407,TRANS EASEMENT,2538021901,4.28,,,F-E,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1408,TRANS EASEMENT,2538008901,0.098,,,F-E,,0,Water and Power Department,,HUNTINGTON PARK,T/L #15A
1409,TRANS EASEMENT,2538008900,1.592,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #15A
1410,TRANS EASEMENT,2538005902,,,Parcel 2538-005-900 splits into 2538-005-901 and 2538-005-902,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #15A
1411,TRANS EASEMENT,2538005901,4.794,,Parcel 2538-005-900 splits into 2538-005-901 and 2538-005-902,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #15A
1412,TRANS EASEMENT,2538004900,3.208,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1413,TRANS EASEMENT,2538003900,3.73,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1414,TRANS EASEMENT,2538002900,2.875,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1415,TRANS EASEMENT,2528035903,6.88,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1416,TRANS EASEMENT,2528030903,8.264,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1417,TRANS EASEMENT,2528030902,4.316,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1418,TRANS EASEMENT,2484015275,0.36,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1419,TRANS EASEMENT,2481003271,0.29,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1420,TRANS EASEMENT,2481001272,0.728,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1421,TRANS EASEMENT,2480013900,0.137,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1422,TRANS EASEMENT,2480013278,0.232,10105,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1423,TRANS EASEMENT,2480013277,0.298,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1424,TRANS EASEMENT,2476024278,0.907,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1425,TRANS EASEMENT,2476022275,0.183,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1426,TRANS EASEMENT,2476022272,0.151,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1427,TRANS EASEMENT,2476021274,0.465,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1428,TRANS EASEMENT,2476019270,0.27,,,F-T,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1429,TRANS EASEMENT,2443025905,0.035,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1430,TRANS EASEMENT,2443025904,0.406,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1431,TRANS EASEMENT,2415024900,0.022,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1432,TRANS EASEMENT,2415015901,1.072,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1433,TRANS EASEMENT,2415015900,3.78,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1434,TRANS EASEMENT,2415014900,0.899,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1435,TRANS EASEMENT,2415013901,1.073,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1436,TRANS EASEMENT,2415013900,2.211,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1437,TRANS EASEMENT,2414014900,0.77,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1438,TRANS EASEMENT,2414005902,2.76,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1439,TRANS EASEMENT,2414005901,0.929,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1440,TRANS EASEMENT,2414005900,0.929,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1441,TRANS EASEMENT,2414003907,0.128,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1442,TRANS EASEMENT,2414003902,4.03,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1443,TRANS EASEMENT,2414003901,0.84,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1444,TRANS EASEMENT,2336021907,0.05,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1445,TRANS EASEMENT,2336021906,0.11,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14B
1446,TRANS EASEMENT,2336021905,0.26,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1447,TRANS EASEMENT,2336021904,3.045,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1448,TRANS EASEMENT,2336019900,2.69,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1449,TRANS EASEMENT,2336010901,4.04,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1450,TRANS EASEMENT,2336009901,1.348,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1451,TRANS EASEMENT,2336007901,1.351,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1452,TRANS EASEMENT,2336007900,0.062,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1453,TRANS EASEMENT,2336005901,0.062,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1454,TRANS EASEMENT,2336005900,0.72,,,F-E,,,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1455,TRANS EASEMENT,2321007901,0.687,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1456,TRANS EASEMENT,2321004901,3.087,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1457,TRANS EASEMENT,2321003902,1.511,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1458,TRANS EASEMENT,2321003901,1.34,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1459,TRANS EASEMENT,2321003900,1.31,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1460,TRANS EASEMENT,2320021900,0.775,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1461,TRANS EASEMENT,2320020900,1.953,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1462,TRANS EASEMENT,2320018902,0.927,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1463,TRANS EASEMENT,2320017901,1.709,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1464,TRANS EASEMENT,2320017900,0.76,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1465,TRANS EASEMENT,2320016903,0.877,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1466,TRANS EASEMENT,2320010900,0.111,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1467,TRANS EASEMENT,2320009902,2.74,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1468,TRANS EASEMENT,2320008904,3.701,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #14A
1469,TRANS EASEMENT,2320006907,2.794,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1470,TRANS EASEMENT,2320006906,0.093,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1471,TRANS EASEMENT,2320005904,0.95,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1472,TRANS EASEMENT,2320001902,1.3,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1473,TRANS EASEMENT,2319008900,0.875,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1474,TRANS EASEMENT,2317019902,0.91,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1475,TRANS EASEMENT,2317019900,2.17,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1476,TRANS EASEMENT,2317018900,2.31,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1477,TRANS EASEMENT,2317017900,1.037,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1478,TRANS EASEMENT,2317016901,0.011,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1479,TRANS EASEMENT,2317016900,2.42,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1480,TRANS EASEMENT,2317015902,1.9,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1481,TRANS EASEMENT,2317014904,1.239,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1482,TRANS EASEMENT,2317013901,0.386,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1483,TRANS EASEMENT,2317010900,1.036,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1484,TRANS EASEMENT,2317009900,2.125,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1485,TRANS EASEMENT,2317006901,3.768,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1486,TRANS EASEMENT,2310023901,2.07,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1487,TRANS EASEMENT,2310022903,0.8,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1488,TRANS EASEMENT,2310022902,0.201,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1489,TRANS EASEMENT,2310022901,0.713,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1490,TRANS EASEMENT,2310008900,2.96,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1491,TRANS EASEMENT,2310007900,0.876,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1492,TRANS EASEMENT,2310006900,2.651,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1493,TRANS EASEMENT,2308024900,3.76,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1494,TRANS EASEMENT,2308012900,0.288,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1495,TRANS EASEMENT,2308009900,0.166,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1496,TRANS EASEMENT,2307025900,1.73,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1497,TRANS EASEMENT,2307020902,1.147,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1498,TRANS EASEMENT,2307015903,0.371,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1499,TRANS EASEMENT,2307015900,0.914,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1500,TRANS EASEMENT,2307007900,2.839,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13B
1501,TRANS EASEMENT,2305004900,0.638,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #13A
1502,TRANS EASEMENT,2305003900,1.308,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1503,TRANS EASEMENT,2305001900,0.55,0,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1504,TRANS EASEMENT,2264002905,,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1505,TRANS EASEMENT,2184026901,3.0401,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1506,TRANS EASEMENT,2177016901,1.6691,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1507,TRANS EASEMENT,2177015900,2.0261,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1508,TRANS EASEMENT,2177011900,0.0851,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1509,TRANS EASEMENT,2176028900,1.8201,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1510,TRANS EASEMENT,2176027900,1.0081,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1511,TRANS EASEMENT,2176025900,2.5921,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1512,TRANS EASEMENT,2176012900,1.8461,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1513,TRANS EASEMENT,2161004907,3.9771,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1514,TRANS EASEMENT,2161003908,0.4391,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1515,TRANS EASEMENT,2161003907,2.4451,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1516,TRANS EASEMENT,2160002902,0.4301,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1517,TRANS EASEMENT,2160002900,0.5121,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1518,TRANS EASEMENT,2156024900,0.567,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1519,TRANS EASEMENT,2156022900,0.945,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1520,TRANS EASEMENT,2156021903,1.077,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1521,TRANS EASEMENT,2156020901,0.002,,4/23/2010 This APN has been vacated and no longer exists.,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1522,TRANS EASEMENT,2156020900,1.137,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1523,TRANS EASEMENT,2127021900,1.331,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1524,TRANS EASEMENT,2127017901,0.972,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #12
1525,TRANS EASEMENT,2127014900,1.639,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #11
1526,TRANS EASEMENT,2127013902,0.687,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #11
1527,TRANS EASEMENT,2127001902,0.333,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #11
1528,TRANS EASEMENT,2127001901,2.35,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #11
1529,TRANS EASEMENT,2126029901,2.28,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #11
1530,TRANS EASEMENT,2126028902,1.016,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #11
1531,TRANS EASEMENT,2126015902,0.872,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #10
1532,TRANS EASEMENT,2126014900,0.872,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #10
1533,TRANS EASEMENT,2126001901,0.624,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #10
1534,TRANS EASEMENT,2118024910,0.22,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #10
1535,TRANS EASEMENT,2118024909,1.716,,,F-E,,0,Water and Power Department,,LOS ANGELES CITY,T/L #10
1536,TRANS EASEMENT,2118001901,2.21,,,F-E,,0,Water and Power Department,,,t/l
1537,TRANS EASEMENT,2104004904,2.191,,,F-E,,0,Water and Power Department,,,t/l
1538,TRANS EASEMENT,2103015903,2.951,,,F-E,,0,Water and Power Department,,,t/l
1539,TRANS EASEMENT,2103013901,1.21,,,F-E,,0,Water and Power Department,,,t/l
1540,TRANS EASEMENT,2103012901,0.51,,,F-E,,0,Water and Power Department,,,t/l
1541,TRANS EASEMENT,2103011902,0.392,,,F-E,,0,Water and Power Department,,LAKEWOOD,t/l
1542,TRANS EASEMENT,2103011901,1.378,,,F-E,,,Water and Power Department,,,t/l
