NO.,CD,APN,Cnt_APN,ADDRESS,INTERSECTION,"LAND ""SQFT""",ACCESS,ZONING,TBpg,Topography,TYPE,STATUS,SOURCE OF FUNDS,est $/SF 3/08,Formula  3/08,"CLASS ""C"" 3/08",Remarks by Appraisal,Field_Checked,PHASE,SYNOPSIS COMMENTS
91,6,2242001900,3,,Blucher Ave./Erwin St.,1165.1,Yes,PF-1XL,531-H7,Level,SR,Strip next to FWY,,3,3495,"$3,500 ",Irregular.,No,1,
92,6,2409016902,2,,Lull St./Riverton Ave.,2609.42,Yes,R1-1,532-A3,Level,SR,Entire block - back lot line,,1,2609,"$2,500 ",Generally rectangular.,Yes,1,
93,7,2648006901,2,14842 Clymer St,Clymer St./Kestler Ave.,5663.97,Yes,RS-1-O,501-J3,Level,SF,"Front, side and rear",,1,5664,N/A,<NOT FOUND>,No,1,
94,8,5024018903,1,,Crenshaw Blvd./43rd Pl.,840.22,Yes,[Q]C1.5-1,673-F3,Level,SF,Entire side lot line,,10,8402,"$8,000 ",Generally rectangular.,Yes,3,Walking alley-REMOVE FROM OPLA PER 5/7/08 EMAIL FR. DAVID R.(CD8)=THIS IS 2 B PART OF VISION THEATER PARCEL.
95,8,5034003900,2,,Martin Luther King Jr. Blvd./Westside A,5067.95,Yes,R1-1,673-F2,Level,SF,Entire side lot,,3,15204,"$15,000 ",Generally rectangular.,Yes,3,
96,8,5034004900,2,,Martin Luther King Jr. Blvd./Welland Av,5443.59,Yes,R1-1,673-F2,Level,SF,Entire side lot,,3,16331,"$16,000 ",Generally rectangular.,Yes,3,
97,8,5034007900,2,,Martin Luther King Jr. Blvd./Hepburn Av,5773.55,Yes,R1-1,673-F2,Level,SF,Entire side lot,,3,17321,"$17,000 ",Generally rectangular.,Yes,3,
98,8,5034008900,2,,Martin Luther King Jr. Blvd./6th Ave.,5840.31,Yes,R1-1,673-F2,Level,SF,Entire side lot,,3,17521,"$18,000 ",Generally rectangular.,Yes,3,
99,8,6002030903,1,"6312 S. Western Ave. Los Angeles, CA 90047",Gage Ave./Western Ave.,1452.64,Yes,C2-1VL,673-H6,Level,SF,Side lot,,10,14526,"$15,000 ",Irregular.,Yes,3,
100,8,4006023900,1,,Bryhurst Ave./71st St.,72.42,Yes,MR1-1VL,673-F7,Level,SR,Sliver in back of lot,,10,724,$750 ,Triangular.,No,3,
101,8,4104017904,1,,La Tuhera Blvd./78th St.,600.02,Yes,MR1-1VL,702-J1,Hillside,SR,Sliver in back of lot,,3,1800,"$1,800 ",Generally rectangular.,No,3,
102,8,6054031902,1,,Flower St./98th St.,300.02,Yes,R1-1,704-C4,Level,SR,Sliver at rear of property,,3,900,$900 ,Generally rectangular.,No,3,
103,8,6054031903,1,,Flower St./98th St.,300.03,Yes,R1-1,704-C4,Level,SR,Sliver at rear of property,,3,900,$900 ,Generally rectangular.,No,3,
104,9,5106021900,1,640 Morgan,Morgan Ave./49th St.,576.88,Yes,R2-1,674-F4,Level,SF,Entire side lot line,,5,2884,"$3,000 ",Generally rectangular.,Yes,3,
105,9,5114004900,1,,Martin Luther King Jr./McKinley Ave.,1364.81,Yes,RD2-1,674-E2,Level,SF,Corner lot,,5,6824,"$7,000 ",Irregular.,Yes,3,
106,9,5115025900,1,,41st St./Central Ave.,25,Yes,R2-1,674-E3,Level,SF,Entire side lot,,5,125,$125 ,Generally rectangular.,Yes,3,
107,9,5117015900,1,,Morgan Ave./40th St.,1996.56,Yes,R2-1,674-F3,Level,SF,Alley,,5,9983,"$10,000 ",Generally rectangular.,Yes,3,
108,9,5118019900,1,"1538 E. 24th St. Los Angeles, CA 90011",24th St./Compton Ave.,2200.06,Yes,M1-1,674-F2,Level,SF,Parking,,10,22001,"$22,000 ",Generally rectangular.,Yes,3,
109,9,5121013901,3,"271 E. Martin Luther King Jr. Blvd. Los Angeles, CA",Adair St./Mathin Luther King Jr. Blvd.,2066.17,Yes,[Q]C2-1VL,674-C2,Level,SF,Side yard,,10,20662,"$21,000 ",Irregular.,Yes,3,
110,9,5149001901,1,,1st St./Spring St.,2414.32,Yes,C2-4D,634-F4,Level,SF,Alley,,,,N/A,Possible LAPD Admin Bldg. Generally rectangular.,Yes,2, Take out-Police Admin. Building
111,9,5161005905,1,,Aliso St./N. Broadway,2580.94,Yes,C4-2D,634-F3,Hillside,SF,Parking,,,0,"$100,000 ",Irregular.,Yes,2,Sale to County.
112,9,6022023900,1,424 73rd Street,Towne Ave./73rd St.,1505.46,Yes,R2-1,704-C1,Level,SF,Entire side yard,,5,7527,"$7,500 ",Generally rectangular.,Yes,3,
113,9,5020033900,1,,Vermont Ave./Menlo Ave.,60.02,Yes,R3-1,674-A3,Level,SR,Alley,,10,600,$600 ,Generally rectangular.,No,3,
114,9,5020033901,1,,Vermont Ave./Menlo Ave.,333.46,Yes,R3-1,674-A3,Level,SR,Alley,,10,3335,"$3,500 ",Generally rectangular.,No,3,
115,9,5020033902,2,,Vermont Ave./41st St.,330.32,Yes,R3-1,674-A3,Level,SR,Alley,,10,3303,"$3,500 ",Generally rectangular.,No,3,
116,9,5020033903,2,,Vermont Ave./41st St.,330.32,Yes,R3-1,674-A3,Level,SR,Alley,,10,3303,"$3,500 ",Generally rectangular.,No,3,
117,9,5020033905,1,,Menlo Ave./42nd St.,322.58,Yes,R3-1,674-A3,Level,SR,Alley,,10,3226,"$3,000 ",Generally rectangular.,No,3,
118,9,5020033906,1,,Vermont Ave./41st St.,270.3,Yes,R3-1,674-A3,Level,SR,Alley,,10,2703,"$2,750 ",Generally rectangular.,No,3,
120,10,5090022900,1,,Olympic Blvd./Victoria Ave.,128.69,Yes,R1-1-O,633-F3,Level,SF,rear corner,,,0,$400 ,Triangular.,Yes,2,Next to 4259 Olympic or along side of
122,10,5066007907,2,,Airdrome St./Crescent Heights Blvd.,803.45,Yes,R1-1,633-A4,Level,SR,Alley,,,0,"$2,400 ",Triangular.,No,2,
124,10,5082026900,1,,Victoria Ave./Country Club Dr.,502,Yes,R1-1-O,633-F4,Level,SR,Rear lot line,,,0,"$1,500 ",Generally rectangular.,No,2,
125,11,4122013900,1,8763 Liberator,88th St./Liberator Ave.,1051.34,Yes,R1-1,702-G3,Level,SF,Entire side lot line,,3,3154,"$3,000 ",Generally rectangular.,Yes,3,
126,11,4229005901,1,3132 Stanford ave,Stanford Ave./Berkeley Dr.,302.95,Yes,R1-1,672-A6,Level,SF,Entire side lot,,3,909,$900 ,Generally rectangular.,Yes,3,
127,11,4257008900,1,,Stoner Ave./Radio Dr.,52.21,Yes,R1-1,672-B1,Level,SF,Front yard,,3,157,$150 ,Triangular.,Yes,3,
128,11,4260039900,1,,Pico Blvd./Sawtelle Blvd.,182.38,Yes,M2-1VL,632-B7,Level,SF,Entrance to parking lot,,,0,$925 ,Triangular.,Yes,2,
129,11,4286024900,1,715 Pacific,Pacific Ave./Park Ave.,406.1,Yes,RD1.5-1,671-G5,Level,SF,Entire side lot line,,5,2030,"$2,000 ",Triangular.,Yes,3,
130,11,4286025900,1,,Pacific Ave./Brooks Ave.,397.29,Yes,RD1.5-1,671-G5,Level,SF,Entire side lot line,,5,1986,"$2,000 ",Triangular.,Yes,3,Asphalt sliver next to parking lot
131,11,4415027900,1,,Sunset Blvd./Livorno Dr.,49.53,Yes,R1-1,630-H5,Hillside,SF,Front yard,,,0,$50 ,Triangular.,Yes,2,
132,11,4423024900,1,,Chautauqua Blvd./Drummond St.,5063.03,Yes,R1-1,631-C4,Hillside,SF,Long sliver,,,0,"$15,200 ",Irregular.,Yes,2,
133,11,4491006900,1,3401 Mandeville Canyon Road,Mandeville Canyon Rd./Merrimac Rd.,1141.14,Yes,RE15-1-H,591-D3,Hillside,SF,Sliver front yard,,,0,"$2,300 ",Possible drainage easement. Generally rectangular.,Yes,2,Land used as storm drainage channel.
134,11,4104018902,1,,La Tuhera Blvd./79th St.,580.04,Yes,R1-1,702-J1,Hillside,SR,Sliver in back of lot,,3,1740,"$1,700 ",Generally rectangular.,No,3,
135,11,4105017900,2,,Airport Blvd./83rd St.,1219.99,Yes,R1-1,702-J2,Hillside,SR,Sliver in back of lot,,3,3660,"$3,500 ",Generally rectangular.,No,3,
136,11,4105017901,1,,Airport Blvd./83rd St.,610,Yes,R1-1,702-J2,Hillside,SR,Sliver in back of lot,,3,1830,"$1,800 ",Generally rectangular.,No,3,
137,11,4106002900,1,,Sepulveda Blvd./76th St.,600.04,Yes,R1-1,702-G1,Hillside,SR,Sliver in back of lot,,3,1800,"$1,800 ",Generally rectangular.,No,3,
138,11,4106002901,1,,Sepulveda Blvd./74th St.,510.03,Yes,R1-1,702-H1,Hillside,SR,Sliver in back of lot,,3,1530,"$1,500 ",Generally rectangular.,No,3,
139,11,4106002902,1,,Sepulveda Blvd./74th St.,383.23,Yes,R1-1,702-H1,Hillside,SR,Sliver in back of lot,,3,1150,"$1,200 ",Irregular.,No,3,
140,11,4107008903,1,,83rd St./Truxton Ave.,500.03,Yes,R1-1,702-H2,Hillside,SR,Sliver in back of lot,,3,1500,"$1,500 ",Generally rectangular.,No,3,
141,11,4107008905,1,,83rd St./Truxton Ave.,500.03,Yes,R1-1,702-H2,Hillside,SR,Sliver in back of lot,,3,1500,"$1,500 ",Generally rectangular.,No,3,
142,11,4107009904,1,,83rd St./Airlane Ave.,566.81,Yes,R1-1,702-H2,Hillside,SR,Sliver in back of lot,,3,1700,"$1,700 ",Generally rectangular.,No,3,
143,11,4107014905,1,,La Tijera Blvd./83rd St.,29.87,Yes,R1-1,702-H2,Hillside,SR,Back corner,,3,90,$100 ,Generally rectangular.,No,3,
144,11,4107014909,1,,La Tijera Blvd./83rd St.,500.03,Yes,R1-1,702-H2,Hillside,SR,Sliver in back of lot,,3,1500,"$1,500 ",Generally rectangular.,No,3,
145,11,4107014910,2,,La Tijera Blvd./83rd St.,1000.06,Yes,R1-1,702-H2,Hillside,SR,Sliver in back of lot,,3,3000,"$3,000 ",Generally rectangular.,No,3,
146,11,4107018901,2,,Airport Blvd./Manchester Ave.,1000.08,Yes,R2-1,702-J2,Hillside,SR,Sliver in back of lot,,5,5000,"$5,000 ",Generally rectangular.,No,3,
147,11,4107018902,2,,Airport Blvd./Manchester Ave.,1000.07,Yes,R2-1,702-J2,Hillside,SR,Sliver in back of lot,,5,5000,"$5,000 ",Generally rectangular.,No,3,
148,11,4107018903,1,,Airport Blvd./Manchester Ave.,500.04,Yes,R2-1,702-J3,Hillside,SR,Sliver in back of lot,,5,2500,"$2,500 ",Generally rectangular.,No,3,
149,11,4108027900,1,,Sepulveda Blvd./80th St.,1200.15,Yes,R1-1,702-G2,Hillside,SR,Sliver in back of lot,,3,3600,"$3,500 ",Irregular.,No,3,
150,11,4122003907,2,,Manchester Ave./Sepulveda Westway,1100.08,Yes,R2-1,702-G3,Level,SR,Back property line,,5,5500,"$5,500 ",Generally rectangular.,No,3,
151,11,4122011910,1,,88th St./El Monor Ave.,501.83,Yes,R1-1,702-G3,Level,SR,Back property line,,3,1505,"$1,500 ",Generally rectangular.,No,3,
152,11,4122011911,1,,88th St./El Monor Ave.,572.66,Yes,R1-1,702-G3,Level,SR,Back property line,,3,1718,"$1,700 ",Generally rectangular.,No,3,
153,11,4123015900,1,,Airport Blvd./Interceptor St.,500.03,Yes,R1-1,702-J3,Level,SR,Back lot line,,10,5000,"$5,000 ",Generally rectangular.,No,3,
154,11,4125006900,1,,Manchester Ave./Winsford Ave.,540.04,Yes,R2-1,702-J3,Hillside,SR,Back lot line,,5,2700,"$2,750 ",Generally rectangular.,No,3,
155,11,4125008900,2,,Airport Blvd./83rd St.,1200.07,Yes,R2-1,702-J2,Hillside,SR,Back lot line,,5,6000,"$6,000 ",Generally rectangular.,No,3,
156,11,4125008901,1,,Airport Blvd./83rd St.,600.04,Yes,R2-1,702-J2,Hillside,SR,Back lot line,,5,3000,"$3,000 ",Generally rectangular.,No,3,
157,11,4125008902,2,,Airport Blvd./83rd St.,1199.27,Yes,R2-1,702-J2,Hillside,SR,Back lot line,,5,5996,"$6,000 ",Generally rectangular.,No,3,
158,11,4221010900,1,,Braddock Dr./Lindblade Dr.,400.03,Yes,R1-1,672-E6,Level,SR,Back lot line,,3,1200,"$1,250 ",Generally rectangular.,No,3,
159,11,4237009900,1,,Alley No.182 /Woodlawn Ave.,11.75,Yes,R3-1,671-J5,Level,SR,Corner of back lot,,10,118,$125 ,Triangular.,No,3,
160,11,4246005900,1,,Palms Blvd./Wasatch Ave.,490.5,Yes,R1-1,671-B3,Hillside,SR,Back lot line,,3,1472,"$1,500 ",Generally rectangular.,No,3,
161,11,4247029900,1,,Palms Blvd./Stewart Ave.,500.01,Yes,R1-1,672-B3,Hillside,SR,Back lot line,,3,1500,"$1,500 ",Generally rectangular.,No,3,
